-BEGIN HEADER-,,,,,,,
NASA/POWER Source Native Resolution Hourly Data ,,,,,,,
Dates (month/day/year): 10/14/2022 through 11/14/2023 in LST,,,,,,,
Location: Latitude  12.9764   Longitude 77.5722 ,,,,,,,
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 841.72 meters,,,,,,,
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 ,,,,,,,
Parameter(s): ,,,,,,,
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) ,,,,,,,
T2M             MERRA-2 Temperature at 2 Meters (C) ,,,,,,,
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) ,,,,,,,
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) ,,,,,,,
-END HEADER-,,,,,,,
YEAR,MO,DY,HR,PRECTOTCORR,T2M,WS10M,RH2M
2022,10,14,0,33.23,21.49,4.04,97.15
2022,10,14,1,21.3,21.19,3.73,97.3
2022,10,14,2,12.39,20.88,2.99,97.61
2022,10,14,3,9.65,20.51,1.97,98.38
2022,10,14,4,8.63,20.23,1.68,98.88
2022,10,14,5,8.57,20.01,1.52,98.9
2022,10,14,6,5.88,20.82,1.35,96.92
2022,10,14,7,5.19,22.17,1.33,92.38
2022,10,14,8,8.5,23.88,1.19,85.07
2022,10,14,9,3,25.74,0.87,76.55
2022,10,14,10,1.22,27.11,0.45,69.46
2022,10,14,11,1.25,28.06,0.38,64.43
2022,10,14,12,1.65,28.52,0.46,61.95
2022,10,14,13,1.74,28.78,0.56,60.37
2022,10,14,14,1.58,28.54,0.96,60.38
2022,10,14,15,2.44,27.83,1.63,63.17
2022,10,14,16,4.86,26.73,1.88,71.02
2022,10,14,17,0.99,24.79,1.97,82.13
2022,10,14,18,1.33,23.46,1.95,88.63
2022,10,14,19,1.17,22.71,2.15,89.31
2022,10,14,20,1.86,21.81,2.36,90.57
2022,10,14,21,7.14,21.1,2.49,92.21
2022,10,14,22,33.15,20.49,2.66,93.97
2022,10,14,23,64.62,20.05,2.78,95.8
