latitude,longitude,time,GPI
40.5,30.5,13602255.0,0.0
40.5,31.5,13602255.0,0.0
40.5,32.5,13602255.0,0.0
40.5,33.5,13602255.0,0.0
40.5,34.5,13602255.0,0.0
40.5,35.5,13602255.0,0.0
40.5,36.5,13602255.0,0.0
40.5,37.5,13602255.0,0.0
40.5,38.5,13602255.0,0.0
40.5,39.5,13602255.0,0.0
40.5,40.5,13602255.0,0.0
40.5,41.5,13602255.0,0.0
40.5,42.5,13602255.0,0.0
40.5,43.5,13602255.0,0.0
40.5,44.5,13602255.0,0.0
40.5,45.5,13602255.0,0.0
40.5,46.5,13602255.0,0.0
40.5,47.5,13602255.0,0.0
40.5,48.5,13602255.0,0.0
40.5,49.5,13602255.0,0.0
40.5,50.5,13602255.0,0.0
40.5,51.5,13602255.0,0.0
40.5,52.5,13602255.0,0.0
40.5,53.5,13602255.0,0.0
40.5,54.5,13602255.0,0.0
40.5,55.5,13602255.0,0.0
40.5,56.5,13602255.0,0.0
40.5,57.5,13602255.0,0.0
40.5,58.5,13602255.0,0.0
40.5,59.5,13602255.0,0.0
40.5,60.5,13602255.0,0.0
40.5,61.5,13602255.0,0.0
40.5,62.5,13602255.0,0.0
40.5,63.5,13602255.0,0.0
40.5,64.5,13602255.0,0.0
40.5,65.5,13602255.0,0.0
40.5,66.5,13602255.0,0.0
40.5,67.5,13602255.0,0.0
40.5,68.5,13602255.0,0.0
40.5,69.5,13602255.0,0.0
40.5,70.5,13602255.0,0.0
40.5,71.5,13602255.0,0.0
40.5,72.5,13602255.0,0.0
40.5,73.5,13602255.0,0.0
40.5,74.5,13602255.0,0.0
40.5,75.5,13602255.0,0.0
40.5,76.5,13602255.0,0.0
40.5,77.5,13602255.0,0.0
40.5,78.5,13602255.0,0.0
40.5,79.5,13602255.0,0.0
40.5,80.5,13602255.0,0.0
40.5,81.5,13602255.0,0.0
40.5,82.5,13602255.0,0.0
40.5,83.5,13602255.0,0.0
40.5,84.5,13602255.0,0.0
40.5,85.5,13602255.0,0.0
40.5,86.5,13602255.0,0.0
40.5,87.5,13602255.0,0.0
40.5,88.5,13602255.0,0.0
40.5,89.5,13602255.0,0.0
40.5,90.5,13602255.0,0.0
40.5,91.5,13602255.0,0.0
40.5,92.5,13602255.0,0.0
40.5,93.5,13602255.0,0.0
40.5,94.5,13602255.0,0.0
40.5,95.5,13602255.0,0.0
40.5,96.5,13602255.0,0.0
40.5,97.5,13602255.0,0.0
40.5,98.5,13602255.0,0.0
40.5,99.5,13602255.0,0.0
40.5,100.5,13602255.0,0.0
40.5,101.5,13602255.0,0.0
40.5,102.5,13602255.0,0.0
40.5,103.5,13602255.0,0.0
40.5,104.5,13602255.0,0.0
40.5,105.5,13602255.0,0.0
40.5,106.5,13602255.0,0.0
40.5,107.5,13602255.0,0.0
40.5,108.5,13602255.0,0.0
40.5,109.5,13602255.0,0.0
40.5,110.5,13602255.0,0.0
40.5,111.5,13602255.0,0.0
40.5,112.5,13602255.0,0.0
40.5,113.5,13602255.0,0.0
40.5,114.5,13602255.0,0.0
40.5,115.5,13602255.0,0.0
40.5,116.5,13602255.0,0.0
40.5,117.5,13602255.0,0.0
40.5,118.5,13602255.0,0.0
40.5,119.5,13602255.0,0.0
40.5,120.5,13602255.0,0.0
39.5,30.5,13602255.0,0.0
39.5,31.5,13602255.0,0.0
39.5,32.5,13602255.0,0.013972885
39.5,33.5,13602255.0,0.48303258
39.5,34.5,13602255.0,0.9210214
39.5,35.5,13602255.0,0.50686854
39.5,36.5,13602255.0,0.06355861
39.5,37.5,13602255.0,0.00927273
39.5,38.5,13602255.0,0.037920006
39.5,39.5,13602255.0,0.11665547
39.5,40.5,13602255.0,0.072512396
39.5,41.5,13602255.0,0.0
39.5,42.5,13602255.0,0.0
39.5,43.5,13602255.0,0.0
39.5,44.5,13602255.0,0.0
39.5,45.5,13602255.0,0.0
39.5,46.5,13602255.0,0.0
39.5,47.5,13602255.0,0.0
39.5,48.5,13602255.0,0.0
39.5,49.5,13602255.0,0.0
39.5,50.5,13602255.0,0.0
39.5,51.5,13602255.0,0.0
39.5,52.5,13602255.0,0.0
39.5,53.5,13602255.0,0.0
39.5,54.5,13602255.0,0.0
39.5,55.5,13602255.0,0.0
39.5,56.5,13602255.0,0.0
39.5,57.5,13602255.0,0.0
39.5,58.5,13602255.0,0.0
39.5,59.5,13602255.0,0.0
39.5,60.5,13602255.0,0.0
39.5,61.5,13602255.0,0.0
39.5,62.5,13602255.0,0.0
39.5,63.5,13602255.0,0.0
39.5,64.5,13602255.0,0.0
39.5,65.5,13602255.0,0.0
39.5,66.5,13602255.0,0.0
39.5,67.5,13602255.0,0.0
39.5,68.5,13602255.0,0.0
39.5,69.5,13602255.0,0.0
39.5,70.5,13602255.0,0.0
39.5,71.5,13602255.0,0.0
39.5,72.5,13602255.0,0.0
39.5,73.5,13602255.0,0.0
39.5,74.5,13602255.0,0.020680007
39.5,75.5,13602255.0,0.03726376
39.5,76.5,13602255.0,0.014282613
39.5,77.5,13602255.0,0.0023740546
39.5,78.5,13602255.0,0.00034745308
39.5,79.5,13602255.0,0.0
39.5,80.5,13602255.0,0.0
39.5,81.5,13602255.0,0.0
39.5,82.5,13602255.0,0.0
39.5,83.5,13602255.0,0.0
39.5,84.5,13602255.0,0.0
39.5,85.5,13602255.0,0.0
39.5,86.5,13602255.0,0.0
39.5,87.5,13602255.0,0.0
39.5,88.5,13602255.0,0.0
39.5,89.5,13602255.0,0.0
39.5,90.5,13602255.0,0.0
39.5,91.5,13602255.0,0.0
39.5,92.5,13602255.0,0.0
39.5,93.5,13602255.0,0.0
39.5,94.5,13602255.0,0.0
39.5,95.5,13602255.0,0.0
39.5,96.5,13602255.0,0.0
39.5,97.5,13602255.0,0.0
39.5,98.5,13602255.0,0.0
39.5,99.5,13602255.0,4.5e-05
39.5,100.5,13602255.0,0.0065164575
39.5,101.5,13602255.0,0.003518972
39.5,102.5,13602255.0,0.0
39.5,103.5,13602255.0,0.003706931
39.5,104.5,13602255.0,0.09347879
39.5,105.5,13602255.0,0.10511015
39.5,106.5,13602255.0,0.008660142
39.5,107.5,13602255.0,0.0
39.5,108.5,13602255.0,0.0
39.5,109.5,13602255.0,0.0
39.5,110.5,13602255.0,0.0
39.5,111.5,13602255.0,0.0
39.5,112.5,13602255.0,0.0
39.5,113.5,13602255.0,0.0
39.5,114.5,13602255.0,0.0
39.5,115.5,13602255.0,0.0
39.5,116.5,13602255.0,0.0
39.5,117.5,13602255.0,0.0
39.5,118.5,13602255.0,0.0
39.5,119.5,13602255.0,0.0
39.5,120.5,13602255.0,0.0
38.5,30.5,13602255.0,0.0
38.5,31.5,13602255.0,0.040910456
38.5,32.5,13602255.0,0.27407402
38.5,33.5,13602255.0,0.52834284
38.5,34.5,13602255.0,1.8010126
