time,YEAR,MO,DY,HR,T2M,WS10M,RH2M,PRECTOTCORR,LAT,LON
2022-10-14 00:00:00,2022,10,14,0,21.49,4.04,97.15,33.23,12.98,77.57
2022-10-14 01:00:00,2022,10,14,1,21.19,3.73,97.3,21.3,12.98,77.57
2022-10-14 02:00:00,2022,10,14,2,20.88,2.99,97.61,12.39,12.98,77.57
2022-10-14 03:00:00,2022,10,14,3,20.51,1.97,98.38,9.65,12.98,77.57
2022-10-14 04:00:00,2022,10,14,4,20.23,1.68,98.88,8.63,12.98,77.57
2022-10-14 05:00:00,2022,10,14,5,20.01,1.52,98.9,8.57,12.98,77.57
2022-10-14 06:00:00,2022,10,14,6,20.82,1.35,96.92,5.88,12.98,77.57
2022-10-14 07:00:00,2022,10,14,7,22.17,1.33,92.38,5.19,12.98,77.57
2022-10-14 08:00:00,2022,10,14,8,23.88,1.19,85.07,8.5,12.98,77.57
2022-10-14 09:00:00,2022,10,14,9,25.74,0.87,76.55,3.0,12.98,77.57
2022-10-14 10:00:00,2022,10,14,10,27.11,0.45,69.46,1.22,12.98,77.57
2022-10-14 11:00:00,2022,10,14,11,28.06,0.38,64.43,1.25,12.98,77.57
2022-10-14 12:00:00,2022,10,14,12,28.52,0.46,61.95,1.65,12.98,77.57
2022-10-14 13:00:00,2022,10,14,13,28.78,0.56,60.37,1.74,12.98,77.57
2022-10-14 14:00:00,2022,10,14,14,28.54,0.96,60.38,1.58,12.98,77.57
2022-10-14 15:00:00,2022,10,14,15,27.83,1.63,63.17,2.44,12.98,77.57
2022-10-14 16:00:00,2022,10,14,16,26.73,1.88,71.02,4.86,12.98,77.57
2022-10-14 17:00:00,2022,10,14,17,24.79,1.97,82.13,0.99,12.98,77.57
2022-10-14 18:00:00,2022,10,14,18,23.46,1.95,88.63,1.33,12.98,77.57
2022-10-14 19:00:00,2022,10,14,19,22.71,2.15,89.31,1.17,12.98,77.57
2022-10-14 20:00:00,2022,10,14,20,21.81,2.36,90.57,1.86,12.98,77.57
2022-10-14 21:00:00,2022,10,14,21,21.1,2.49,92.21,7.14,12.98,77.57
2022-10-14 22:00:00,2022,10,14,22,20.49,2.66,93.97,33.15,12.98,77.57
2022-10-14 23:00:00,2022,10,14,23,20.05,2.78,95.8,64.62,12.98,77.57
2022-10-15 00:00:00,2022,10,15,0,19.73,2.34,97.5,68.41,12.98,77.57
2022-10-15 01:00:00,2022,10,15,1,19.6,1.87,98.37,60.71,12.98,77.57
2022-10-15 02:00:00,2022,10,15,2,19.76,1.45,98.23,41.58,12.98,77.57
2022-10-15 03:00:00,2022,10,15,3,19.67,1.2,98.11,21.95,12.98,77.57
2022-10-15 04:00:00,2022,10,15,4,19.62,1.07,97.8,10.37,12.98,77.57
2022-10-15 05:00:00,2022,10,15,5,19.47,1.16,98.33,4.62,12.98,77.57
2022-10-15 06:00:00,2022,10,15,6,20.22,1.5,96.98,3.71,12.98,77.57
2022-10-15 07:00:00,2022,10,15,7,21.62,2.14,92.28,8.5,12.98,77.57
